Symbol	Module
S100A8	15
CLEC4E	15
CXCR4	15
IFNGR2	15
MRC1	15
IL12RB1	15
IRF3	15
IRF9	15
IL1R2	15
IRF5	15
IL2RB	15
CTSS	15
SELPLG	15
PRDM1	15
GZMA	15
CD80	15
IRF4	15
FLT3LG	15
FAS	15
IFITM1	15
CCL3	15
OLIG3	15
FAM167A	15
CD22	15
CD40	15
CXCR1	15
CD40LG	15
CXCR3	15
CD27	15
CD274	15
GNLY	15
HLA-E	15
BCL2L1	15
CSF3R	15
BCR	15
PF4	15
B2M	15
LST1	15
HPRT1	15
CD163	15
CASP1	15
GBP2	15
CD14	15
GADD45B	15
CCL4	15
ALOX5	15
AIF1	15
LILRB2	16
PSTPIP1	16
SDR39U1	16
TRIM22	16
TNFSF13B	16
ITGAX	16
TNFRSF1B	16
FCGR2A	16
PLEK	16
MYO1F	16
FGL2	16
ITGB2	16
ITGAM	16
FCGR3A	16
TYROBP	16
FCGR3B	16
FCER1G	16
FPR1	16
GIMAP7	16
MS4A7	16
NLRP3	16
SELL	16
KLRB1	16
CD53	16
LCP2	16
S100A9	16
S100A8	16
CLEC4E	16
PLXDC1	16
PLXDC2	16
CTSS	16
TAGAP	16
GIMAP4	16
P2RY13	16
KHNYN	16
GMFG	16
PLCG2	16
SRGN	16
NCF2	16
FCN1	16
LCN15	16
GZMK	16
GZMH	16
GZMA	16
RGS18	16
SLC15A3	16
C10orf54	16
GNLY	16
SLC7A7	16
HCLS1	16
GIMAP8	16
SLA	16
S1PR4	16
VNN2	16
CD163	16
CASP1	16
FYB	16
EVI2B	16
LAPTM5	16
MNDA	16
CYTH4	16
GBP2	16
NCF4	16
F13A1	16
GIMAP6	16
CYTIP	16
CD37	16
CST7	16
GIMAP5	16
ARHGAP25	16
CD14	16
ARHGAP9	16
CD93	16
CFP	16
ALOX5AP	16
CCL4	16
AMICA1	16
AQP9	16
ALOX5	16
ADAM8	16
UBE2A	17
TOP1MT	17
SMC1A	17
RECQL5	17
POLR2I	17
RUVBL2	17
UBE2W	17
SERGEF	17
RRM1	17
SUMO1	17
UBE2I	17
TCEA2	17
WDR59	17
PI4KA	17
PHF11	17
SMARCA4	17
UBE2T	17
POLD1	17
XRCC5	17
DDX58	17
H2AFZ	17
HIST1H2AD	17
HIST1H2AJ	17
HIST1H3C	17
CHD1	17
HIST1H3G	17
SMARCA2	17
KAT2A	17
TCEA3	17
MLLT3	17
POLE3	17
RING1	17
ORC1	17
MCM7	17
SETD1A	17
UBE2D4	17
MBD3	17
HIST2H2AB	17
HIST3H2A	17
HDAC11	17
HP1BP3	17
EHMT2	17
ERCC2	17
H1FOO	17
HIRIP3	17
CHD1L	17
SHPRH	17
CUL3	17
UBE2J1	17
CBX3	17
SIRT3	17
USP49	17
DDB1	17
MCM2	17
CDK16	17
HMGB2	17
CBX5	17
BRD2	17
HIST3H3	17
H2AFY	17
H2AFY2	17
KDM5D	17
CENPI	17
H3F3C	17
HIST2H3D	17
H3F3B	17
CCNO	17
BPTF	17
DMAP1	17
C17orf64	17
ASF1A	17
SERTAD2	17
