Module	Symbol
m11	GSTO1
m11	GSTT1
m11	MGST2
m11	GSTM4
m11	GSTA2
m11	GSTP1
m11	GSTA5
m11	MGST3
m11	GSTM5
m11	GSTM3
m11	GSTM2
m11	MGST1
m11	GSR
m11	GGT7
m11	GPX7
m11	GPX8
m11	UGT1A3
m11	UGT2A3
m11	GGH
m11	CYP2F1
m11	CYP26C1
m11	CYP26B1
m11	CYP26A1
m11	CYP2E1
m11	CYP1A1
m11	CYP2A6
m11	TXNDC12
m11	GGT5
m11	GGT1
m11	GPX2
m11	GPX3
m11	CYP2B6
m11	CYP2C8
m11	CYP1B1
m11	COMT
m11	CYP3A5
m11	CYP2S1
m11	AKR1C3
m11	ALDH3A1
m11	ALDH1A3
m11	ADH5
m11	ALDH1A1
m11	ADH4
m11	ADH1B
m11	ADH1A
m12	RXFP1
m12	HTR4
m12	HTR7
m12	FSHR
m12	PTHLH
m12	GPR15
m12	GPR25
m12	HTR6
m12	MC3R
m12	PTH2
m12	GPR84
m12	PTH2R
m12	TAAR1
m12	PTGER2
m12	TAAR8
m12	PTH1R
m12	GPR176
m12	GPR20
m12	GPR27
m12	GPR83
m12	IAPP
m12	CALCA
m12	MC4R
m12	MC2R
m12	LHCGR
m12	VIPR2
m12	AVPR2
m12	GCGR
m12	SCT
m12	VIP
m12	RLN2
m12	VIPR1
m12	RAMP1
m12	RAMP3
m12	RAMP2
m12	ADM2
m12	CRH
m12	CALCR
m12	ADRB3
m12	CALCRL
m12	CALCB
m12	ADRB1
m12	PTGDR
m12	CRHR2
m12	CRHR1
m12	MC1R
m12	GLP2R
m12	GIP
m12	DRD5
m12	GIPR
m12	PTGIR
m12	INSL3
m12	ADORA2B
m12	ADM
m12	UCN
m12	ADCYAP1
m12	ADCYAP1R1
m13	XPO1
m13	SEC13
m13	NUP98
m13	SEH1L
m13	RANBP2
m13	NUP133
m13	NUP37
m13	NUP107
m13	NCOA5
m13	NUP85
m13	NIPBL
m13	STAG1
m13	STAG2
m13	SMC1A
m13	RAD21
m13	PDS5A
m13	WAPAL
m13	SMC3
m13	PDS5B
m13	MAU2
m13	PPP2CB
m13	IER3
m13	PPP2R5B
m13	PPP2R5C
m13	PPP2R1B
m13	RANGAP1
m13	PAFAH1B1
m13	NDEL1
m13	PPP2R5D
m13	PPP2R5A
m13	NCAPG
m13	PPP1CC
m13	NUP43
m13	NUP160
m13	ESCO1
m13	ESCO2
m13	PRC1
m13	KIF2C
m13	RSF1
m13	STRA13
m13	NDE1
m13	CKAP5
m13	MIS18BP1
m13	OIP5
m13	NPM1
m13	MIS18A
m13	CENPW
m13	HJURP
m13	ITGB3BP
m13	SKA3
m13	SPDL1
m13	MELK
m13	PBK
m13	NUSAP1
m13	TAOK1
m13	ZW10
m13	SPC25
m13	ZWILCH
m13	ZWINT
m13	AURKC
m13	MAD1L1
m13	TTK
m13	BUB1B
m13	BUB3
m13	INCENP
m13	MAD2L1
m13	BIRC5
m13	BUB1
m13	CDCA8
m13	CENPK
m13	CENPO
m13	ESPL1
m13	KNTC1
m13	CENPL
m13	SPC24
m13	CENPP
m13	MIS12
m13	CENPM
m13	DSN1
m13	SKA1
m13	SGOL2
m13	NSL1
m13	NDC80
m13	KIF18A
m13	PPP2R5E
m13	CLASP2
m13	PMF1
m13	NUF2
m13	CENPU
m13	KIF2A
m13	CLASP1
m13	CENPQ
m13	ERCC6L
m13	RCC2
m13	CENPN
m13	NUDC
m13	SGOL1
m13	CENPT
m13	MAPRE1
m13	SKA2
m13	CLIP1
m13	CENPH
m13	CENPI
m13	EVI5
m13	CDKN3
m13	TACC1
m13	CENPA
m13	CEP55
m13	DLGAP5
m13	ASPM
m13	CCNB1
m13	CENPE
m13	ANLN
m13	AURKA
m13	AURKB
m13	CASC5
m13	CDCA5
m13	CCNB2
m13	CENPF
m13	TACC3
m13	MAPRE3
m13	AHCTF1
m13	PHLDA1
m13	GSG2
